naics_edition_year,history_year,history_naics,cur_naics
2017,2017,313230,313230
2017,2022,313230,313230
2017,2012,31324,31324
2017,2017,31324,31324
2017,2022,31324,31324
2017,2012,313240,313240
2017,2017,313240,313240
2017,2022,313240,313240
2017,2012,3133,3133
2017,2017,3133,3133
2017,2022,3133,3133
2017,2012,31331,31331
2017,2017,31331,31331
2017,2022,31331,31331
2017,2012,313310,313310
2017,2017,313310,313310
2017,2022,313310,313310
2017,2012,31332,31332
2017,2017,31332,31332
2017,2022,31332,31332
2017,2012,313320,313320
2017,2017,313320,313320
2017,2022,313320,313320
2017,2012,314,314
2017,2017,314,314
2017,2022,314,314
2017,2012,3141,3141
2017,2017,3141,3141
2017,2022,3141,3141
